id,category,pay_frequency,pay_periods_per_year,gross_per_period,td1_federal_claim,td1_provincial_claim,pensionable_months,ytd_pensionable_earnings,ytd_insurable_earnings,ytd_cpp_base_paid,ytd_ei_paid,expected_cpp,expected_cpp2,expected_ei,expected_federal_tax,expected_provincial_tax,expected_net_pay
ab_2026_60k_monthly,freq-parity-60k,monthly,12,5000.0,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_120k_daily,freq-parity-120k,daily,240,500.0,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_120k_weekly,freq-parity-120k,weekly,52,2307.69,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_120k_biweekly,freq-parity-120k,biweekly,26,4615.38,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_120k_semi_monthly,freq-parity-120k,semi_monthly,24,5000.0,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_120k_monthly,freq-parity-120k,monthly,12,10000.0,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_biweekly_sweep_800,income-sweep-biweekly,biweekly,26,800,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_biweekly_sweep_1200,income-sweep-biweekly,biweekly,26,1200,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_biweekly_sweep_1600,income-sweep-biweekly,biweekly,26,1600,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_biweekly_sweep_2000,income-sweep-biweekly,biweekly,26,2000,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_biweekly_sweep_2400,income-sweep-biweekly,biweekly,26,2400,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_biweekly_sweep_2800,income-sweep-biweekly,biweekly,26,2800,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_biweekly_sweep_3200,income-sweep-biweekly,biweekly,26,3200,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_biweekly_sweep_3600,income-sweep-biweekly,biweekly,26,3600,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_biweekly_sweep_4200,income-sweep-biweekly,biweekly,26,4200,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_biweekly_sweep_5000,income-sweep-biweekly,biweekly,26,5000,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_monthly_sweep_2000,income-sweep-monthly,monthly,12,2000,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_monthly_sweep_3000,income-sweep-monthly,monthly,12,3000,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_monthly_sweep_4000,income-sweep-monthly,monthly,12,4000,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_monthly_sweep_5000,income-sweep-monthly,monthly,12,5000,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_monthly_sweep_6500,income-sweep-monthly,monthly,12,6500,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_monthly_sweep_8000,income-sweep-monthly,monthly,12,8000,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_monthly_sweep_10000,income-sweep-monthly,monthly,12,10000,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_monthly_sweep_12000,income-sweep-monthly,monthly,12,12000,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_monthly_sweep_15000,income-sweep-monthly,monthly,12,15000,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_monthly_sweep_20000,income-sweep-monthly,monthly,12,20000,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_cpp2_below_ympe,cpp2-threshold,monthly,12,5500,16452.0,22769.0,12,60000,60000,3570.0,978.0,,,,,,
ab_2026_cpp2_at_ympe,cpp2-threshold,monthly,12,6100,16452.0,22769.0,12,73200,73200,4230.45,1077.48,,,,,,
ab_2026_cpp2_crossing_ympe,cpp2-threshold,monthly,12,6500,16452.0,22769.0,12,70000,70000,4165.0,1077.48,,,,,,
ab_2026_cpp2_in_cpp2_zone,cpp2-threshold,monthly,12,7000,16452.0,22769.0,12,75000,75000,4230.45,1077.48,,,,,,
ab_2026_cpp2_above_yampe,cpp2-threshold,monthly,12,8500,16452.0,22769.0,12,90000,90000,4230.45,1077.48,,,,,,
ab_2026_ei_below_max,ei-max,monthly,12,4000,16452.0,22769.0,12,40000,40000,2500.0,652.0,,,,,,
ab_2026_ei_near_max,ei-max,monthly,12,5500,16452.0,22769.0,12,60000,60000,2500.0,978.0,,,,,,
ab_2026_ei_at_max,ei-max,monthly,12,5500,16452.0,22769.0,12,65000,65000,2500.0,1059.5,,,,,,
ab_2026_ei_exceeded_max,ei-max,monthly,12,5500,16452.0,22769.0,12,70000,70000,2500.0,1077.48,,,,,,
ab_2026_ei_max_hit_early,ei-max,monthly,12,8000,16452.0,22769.0,12,66000,66000,2500.0,1075.8,,,,,,
ab_2026_extreme_very_low_weekly,extreme-income,weekly,52,300,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_extreme_minimum_wage_weekly,extreme-income,weekly,52,620,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_extreme_very_high_weekly,extreme-income,weekly,52,8000,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_extreme_executive_monthly,extreme-income,monthly,12,25000,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_extreme_extreme_monthly,extreme-income,monthly,12,50000,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_pen_months_start_of_year_m1,pensionable-months,monthly,12,3000,16452.0,22769.0,1,0,0,0,0,,,,,,
ab_2026_pen_months_mid_year_m6,pensionable-months,monthly,12,3000,16452.0,22769.0,6,0,0,0,0,,,,,,
ab_2026_pen_months_late_year_m10,pensionable-months,monthly,12,3000,16452.0,22769.0,10,0,0,0,0,,,,,,
ab_2026_pen_months_short_year_m3,pensionable-months,monthly,12,3000,16452.0,22769.0,3,0,0,0,0,,,,,,
ab_2026_pen_months_half_year_m6_v2,pensionable-months,monthly,12,3000,16452.0,22769.0,6,0,0,0,0,,,,,,
ab_2026_zerotax_very_low_daily,zero-tax,daily,240,100,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_zerotax_very_low_weekly_v2,zero-tax,weekly,52,500,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_zerotax_below_bpa_annual_equiv,zero-tax,monthly,12,1300,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_zerotax_young_employee_weekly,zero-tax,weekly,52,700,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_zerotax_part_time_biweekly,zero-tax,biweekly,26,900,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_semimonthly_sweep_1000,income-sweep-semimonthly,semi_monthly,24,1000,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_semimonthly_sweep_1800,income-sweep-semimonthly,semi_monthly,24,1800,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_semimonthly_sweep_2500,income-sweep-semimonthly,semi_monthly,24,2500,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_semimonthly_sweep_3500,income-sweep-semimonthly,semi_monthly,24,3500,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_semimonthly_sweep_4500,income-sweep-semimonthly,semi_monthly,24,4500,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_ytd_mid_year_q1,ytd-progression,monthly,12,4000,16452.0,22769.0,12,12000,12000,714.0,195.6,,,,,,
ab_2026_ytd_mid_year_q2,ytd-progression,monthly,12,4000,16452.0,22769.0,12,24000,24000,1428.0,391.2,,,,,,
ab_2026_ytd_mid_year_q3,ytd-progression,monthly,12,4000,16452.0,22769.0,12,36000,36000,2142.0,586.8,,,,,,
ab_2026_ytd_mid_year_q4,ytd-progression,monthly,12,4000,16452.0,22769.0,12,48000,48000,2856.0,782.4,,,,,,
ab_2026_ytd_year_end,ytd-progression,monthly,12,5000,16452.0,22769.0,12,55000,55000,3272.5,896.5,,,,,,
ab_2026_precision_1234_56,precision-odd-amounts,biweekly,26,1234.56,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_precision_2789_43,precision-odd-amounts,biweekly,26,2789.43,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_precision_3456_78,precision-odd-amounts,biweekly,26,3456.78,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_precision_4321_09,precision-odd-amounts,biweekly,26,4321.09,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_precision_5678_9,precision-odd-amounts,biweekly,26,5678.9,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_smx_2000,round-amounts,semi_monthly,24,2000.0,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_smx_3000,round-amounts,semi_monthly,24,3000.0,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_bw_1500,round-amounts,biweekly,26,1500.0,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_wk_1000,round-amounts,weekly,52,1000.0,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_mo_7500,round-amounts,monthly,12,7500.0,16452.0,22769.0,12,0,0,0,0,,,,,,
