id,category,pay_frequency,pay_periods_per_year,gross_per_period,td1_federal_claim,td1_provincial_claim,pensionable_months,ytd_pensionable_earnings,ytd_insurable_earnings,ytd_cpp_base_paid,ytd_ei_paid,expected_cpp,expected_cpp2,expected_ei,expected_federal_tax,expected_provincial_tax,expected_net_pay
ab_2026_ei_max_hit_early,ei-max,monthly,12,8000,16452,22769,12,66000,66000,3927,1075.8,303.45,0,47.27,1051.88,511.84,6085.56
ab_2026_extreme_very_low_weekly,extreme-income,weekly,52,300,16452,22769,12,0,0,0,0,13.85,0,4.89,0,0,281.26
ab_2026_extreme_minimum_wage_weekly,extreme-income,weekly,52,620,16452,22769,12,0,0,0,0,32.89,0,10.11,32.44,11.13,533.43
ab_2026_extreme_very_high_weekly,extreme-income,weekly,52,8000,16452,22769,12,0,0,0,0,472,0,130.4,2056.9,908.79,4431.91
ab_2026_extreme_executive_monthly,extreme-income,monthly,12,25000,16452,22769,12,0,0,0,0,1470.15,0,407.5,5755.12,2563.67,14803.56
ab_2026_extreme_extreme_monthly,extreme-income,monthly,12,50000,16452,22769,12,0,0,0,0,2957.65,0,815,13922.62,6215.11,26089.62
ab_2026_pen_months_start_of_year_m1,pensionable-months,monthly,12,3000,16452,22769,1,0,0,0,0,161.15,0,48.9,196.49,80.17,2513.29
ab_2026_pen_months_mid_year_m6,pensionable-months,monthly,12,3000,16452,22769,6,0,0,0,0,161.15,0,48.9,181.14,71.4,2537.41
ab_2026_pen_months_late_year_m10,pensionable-months,monthly,12,3000,16452,22769,10,0,0,0,0,161.15,0,48.9,181.14,71.4,2537.41
ab_2026_pen_months_short_year_m3,pensionable-months,monthly,12,3000,16452,22769,3,0,0,0,0,161.15,0,48.9,189.65,76.26,2524.04
ab_2026_pen_months_half_year_m6_v2,pensionable-months,monthly,12,3000,16452,22769,6,0,0,0,0,,,,,,
ab_2026_zerotax_very_low_daily,zero-tax,daily,240,100,16452,22769,12,0,0,0,0,5.08,0,1.63,2.59,0,90.7
ab_2026_zerotax_very_low_weekly_v2,zero-tax,weekly,52,500,16452,22769,12,0,0,0,0,25.75,0,8.15,16.92,2.26,446.92
ab_2026_zerotax_below_bpa_annual_equiv,zero-tax,monthly,12,1300,16452,22769,12,0,0,0,0,60,0,21.19,0,0,1218.81
ab_2026_zerotax_young_employee_weekly,zero-tax,weekly,52,700,16452,22769,12,0,0,0,0,37.65,0,11.41,42.8,17.05,591.09
ab_2026_zerotax_part_time_biweekly,zero-tax,biweekly,26,900,16452,22769,12,0,0,0,0,45.54,0,14.67,20.9,0,818.89
ab_2026_semimonthly_sweep_1000,income-sweep-semimonthly,semi_monthly,24,1000,16452,22769,12,0,0,0,0,50.82,0,16.3,25.88,0,907
ab_2026_semimonthly_sweep_1800,income-sweep-semimonthly,semi_monthly,24,1800,16452,22769,12,0,0,0,0,98.42,0,29.34,129.39,57.88,1484.97
ab_2026_semimonthly_sweep_2500,income-sweep-semimonthly,semi_monthly,24,2500,16452,22769,12,0,0,0,0,,,,,,
ab_2026_semimonthly_sweep_3500,income-sweep-semimonthly,semi_monthly,24,3500,16452,22769,12,0,0,0,0,199.57,0,57.05,420.32,204.27,2618.79
ab_2026_semimonthly_sweep_4500,income-sweep-semimonthly,semi_monthly,24,4500,16452,22769,12,0,0,0,0,259.07,0,73.35,623.27,303.27,3241.04
ab_2026_ytd_mid_year_q1,ytd-progression,monthly,12,4000,16452,22769,12,12000,12000,714,195.6,220.65,0,65.2,310.53,145.34,3258.28
ab_2026_ytd_mid_year_q2,ytd-progression,monthly,12,4000,16452,22769,12,24000,24000,1428,391.2,220.65,0,65.2,310.53,145.34,3258.28
ab_2026_ytd_mid_year_q3,ytd-progression,monthly,12,4000,16452,22769,12,36000,36000,2142,586.8,220.65,0,65.2,310.53,145.34,3258.28
ab_2026_ytd_mid_year_q4,ytd-progression,monthly,12,4000,16452,22769,12,48000,48000,2856,782.4,220.65,0,65.2,308.51,144.18,3261.46
ab_2026_ytd_year_end,ytd-progression,monthly,12,5000,16452,22769,12,55000,55000,3272.5,896.5,280.15,0,81.5,444.86,219.28,3974.21
ab_2026_precision_1234_56,precision-odd-amounts,biweekly,26,1234.56,16452,22769,12,0,0,0,0,65.45,0,20.12,64.19,21.86,1062.94
ab_2026_precision_2789_43,precision-odd-amounts,biweekly,26,2789.43,16452,22769,12,0,0,0,0,157.96,0,45.47,298.97,145.18,2141.85
ab_2026_precision_3456_78,precision-odd-amounts,biweekly,26,3456.78,16452,22769,12,0,0,0,0,197.67,0,56.35,433.85,210.94,2557.97
ab_2026_precision_4321_09,precision-odd-amounts,biweekly,26,4321.09,16452,22769,12,0,0,0,0,249.1,0,70.43,609.26,296.5,3095.8
ab_2026_precision_5678_9,precision-odd-amounts,biweekly,26,5678.9,16452,22769,12,0,0,0,0,329.89,0,92.57,946.55,430.93,3878.96
ab_2026_smx_2000,round-amounts,semi_monthly,24,2000,16452,22769,12,0,0,0,0,110.32,0,32.6,155.27,72.67,1629.14
ab_2026_smx_3000,round-amounts,semi_monthly,24,3000,16452,22769,12,0,0,0,0,169.82,0,48.9,319.59,155.2,2306.49
ab_2026_bw_1500,round-amounts,biweekly,26,1500,16452,22769,12,0,0,0,0,81.24,0,24.45,98.53,41.49,1254.29
ab_2026_wk_1000,round-amounts,weekly,52,1000,16452,22769,12,0,0,0,0,,,,,,
ab_2026_mo_7500,round-amounts,monthly,12,7500,16452,22769,12,0,0,0,0,428.9,0,122.25,942.11,458.05,5548.69
